UCETOCORESTATUS;ORDERBLOCKSTATUS;ORDERCREDITSTATUS;ORDERDELIVERYSTATUS;ORDERREJECTIONSTATUS;ORDERSTATUS;VENDCODE;VENDRELATION;CANCELATIONALLOWED;ISFINALSTATUS;ORDERFINALCONFIRMEMAIL;ORDERINITIALCONFIRMEMAIL;ORDERMANUALCONFIRMATION;ORDERSTATUSSEQUENCE;ORDERTYPE;SALESORDEREDITALLOWED
None;;;;;;All;;No;No;None;None;No;0;SalesOrders;Yes
SentToCore;;;;;Sent to distributor;All;;No;No;None;None;No;2;SalesOrders;Yes
Confirmed;;;;;Confirmed;All;;Yes;No;None;Post;No;3;SalesOrders;Yes
Invoiced;;;;;Delivered;All;;No;Yes;None;None;No;6;SalesOrders;Yes
Invoiced;;;;;Full delivered;All;;No;Yes;None;None;No;6;SalesOrders;Yes
Invoiced;;;;;Fully Delivered;All;;No;Yes;None;None;No;6;SalesOrders;No
Delivered;;;;;Delivered;All;;No;No;None;None;No;7;SalesOrders;Yes
Canceled;;;;;Cancelled;All;;No;Yes;None;None;Yes;0;SalesOrders;Yes
Canceled;;;;;Declined;All;;No;Yes;None;None;Yes;0;SalesOrders;Yes
Validated;;;;;;All;;No;No;None;None;No;1;SalesOrders;Yes
OnDelivery;;;;;On the way;All;;No;No;Post;None;No;4;SalesOrders;Yes
OnDelivery;;;;;Out for Delivery;All;;No;No;Post;None;No;4;SalesOrders;Yes
